dataset_version,week,activity_id,activity_id_quality,parent_technique,flow_count,start_time,end_time,source_count,destination_count,mission_source,anchor_feasible,episode_feasible,shot_eligible,split_group
UWF-ZeekDataFall24-2,2024-11-03 - 2024-11-10,derived60:uwf_fall24_2_2024-11-03:T1595:143.88.5.11:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,5419,2024-11-03T02:20:12.726048+00:00,2024-11-03T02:25:47.759206+00:00,1,4,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataFall24-2|2024-11-03 - 2024-11-10
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T03:14:54.096675+00:00,2025-06-14T03:14:54.096675+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:2,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T04:14:54.094326+00:00,2025-06-14T04:14:54.094326+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:3,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T05:14:54.091709+00:00,2025-06-14T05:14:54.091709+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:4,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T06:14:54.089467+00:00,2025-06-14T06:14:54.089467+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:5,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T07:14:54.087268+00:00,2025-06-14T07:14:54.087268+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:6,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T08:14:54.085007+00:00,2025-06-14T08:14:54.085007+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:7,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T09:14:54.082622+00:00,2025-06-14T09:14:54.082622+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:8,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T10:14:54.080351+00:00,2025-06-14T10:14:54.080351+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:9,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T11:14:54.077726+00:00,2025-06-14T11:14:54.077726+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:10,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T12:14:54.075423+00:00,2025-06-14T12:14:54.075423+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:11,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T13:14:54.073241+00:00,2025-06-14T13:14:54.073241+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:12,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T14:14:54.070823+00:00,2025-06-14T14:14:54.070823+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:13,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T15:14:54.068501+00:00,2025-06-14T15:14:54.068501+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:14,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T16:14:54.066185+00:00,2025-06-14T16:14:54.066185+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:15,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T17:14:54.063696+00:00,2025-06-14T17:14:54.063696+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:16,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T18:14:54.061509+00:00,2025-06-14T18:14:54.061509+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:17,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T19:14:54.059132+00:00,2025-06-14T19:14:54.059132+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:18,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T20:14:54.056796+00:00,2025-06-14T20:14:54.056796+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:19,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T21:14:54.054401+00:00,2025-06-14T21:14:54.054401+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:20,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T22:14:54.052122+00:00,2025-06-14T22:14:54.052122+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-1,2025-06-08 - 2025-06-15,derived60:uwf_sum25_1_2025-06-08:T1595:143.88.5.10:21,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,1,2025-06-14T23:14:54.049853+00:00,2025-06-14T23:14:54.049853+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-1|2025-06-08 - 2025-06-15
UWF-ZeekDataSum25-2,2025-06-08 - 2025-06-15,derived60:uwf_sum25_2_2025-06-08:T1595:143.88.2.10:1,heuristic_60s_source_cluster_not_mission_ground_truth,T1595,2,2025-06-09T20:12:31.975914+00:00,2025-06-09T20:12:33.072056+00:00,1,1,public_processed_parquet; original mission logs described but not published in download tree,candidate_only,no_confirmed_activity_boundary,False,UWF-ZeekDataSum25-2|2025-06-08 - 2025-06-15
UWF-ZeekData24,2024-02-25 - 2024-03-03,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1048,50,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-02-25 - 2024-03-03
UWF-ZeekData24,2024-03-03 - 2024-03-10,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1048,30,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-03 - 2024-03-10
UWF-ZeekData24,2024-03-10 - 2024-03-17,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1048,188,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-10 - 2024-03-17
UWF-ZeekData24,2024-03-17 - 2024-03-24,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1048,268,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-17 - 2024-03-24
UWF-ZeekData24,2024-03-24 - 2024-03-31,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1048,23,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-24 - 2024-03-31
UWF-ZeekData24,2024-02-25 - 2024-03-03,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1078,1251,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-02-25 - 2024-03-03
UWF-ZeekData24,2024-03-03 - 2024-03-10,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1078,336,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-03 - 2024-03-10
UWF-ZeekData24,2024-03-10 - 2024-03-17,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1078,1193,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-10 - 2024-03-17
UWF-ZeekData24,2024-03-17 - 2024-03-24,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1078,2591,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-17 - 2024-03-24
UWF-ZeekData24,2024-03-24 - 2024-03-31,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1078,677,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-24 - 2024-03-31
UWF-ZeekData24,2024-02-25 - 2024-03-03,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1110,236706,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-02-25 - 2024-03-03
UWF-ZeekData24,2024-03-03 - 2024-03-10,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1110,45491,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-03 - 2024-03-10
UWF-ZeekData24,2024-03-10 - 2024-03-17,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1110,150887,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-10 - 2024-03-17
UWF-ZeekData24,2024-03-17 - 2024-03-24,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1110,341945,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-17 - 2024-03-24
UWF-ZeekData24,2024-03-24 - 2024-03-31,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1110,96159,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-24 - 2024-03-31
UWF-ZeekData24,2024-02-25 - 2024-03-03,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1190,921,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-02-25 - 2024-03-03
UWF-ZeekData24,2024-03-03 - 2024-03-10,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1190,240,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-03 - 2024-03-10
UWF-ZeekData24,2024-03-10 - 2024-03-17,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1190,897,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-10 - 2024-03-17
UWF-ZeekData24,2024-03-17 - 2024-03-24,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1190,2011,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-17 - 2024-03-24
UWF-ZeekData24,2024-03-24 - 2024-03-31,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1190,545,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-24 - 2024-03-31
UWF-ZeekData24,2024-02-25 - 2024-03-03,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,12762,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-02-25 - 2024-03-03
UWF-ZeekData24,2024-03-03 - 2024-03-10,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,3339,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-03 - 2024-03-10
UWF-ZeekData24,2024-03-10 - 2024-03-17,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,10834,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-10 - 2024-03-17
UWF-ZeekData24,2024-03-17 - 2024-03-24,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,24233,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-17 - 2024-03-24
UWF-ZeekData24,2024-03-24 - 2024-03-31,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,6927,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekData24|2024-03-24 - 2024-03-31
UWF-ZeekDataSum25-1,2025-06-15 - 2025-06-22,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1016,108,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-06-15 - 2025-06-22
UWF-ZeekDataSum25-1,2025-06-29 - 2025-07-06,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1046,991,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-06-29 - 2025-07-06
UWF-ZeekDataSum25-1,2025-07-20 - 2025-07-27,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1190,1,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-07-20 - 2025-07-27
UWF-ZeekDataSum25-1,2025-07-20 - 2025-07-27,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1210,247,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-07-20 - 2025-07-27
UWF-ZeekDataSum25-1,2025-07-27 - 2025-08-03,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1210,79,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-07-27 - 2025-08-03
UWF-ZeekDataSum25-1,2025-06-15 - 2025-06-22,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1548,3532,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-06-15 - 2025-06-22
UWF-ZeekDataSum25-1,2025-06-15 - 2025-06-22,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,4041,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-06-15 - 2025-06-22
UWF-ZeekDataSum25-1,2025-07-13 - 2025-07-20,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,397896,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-07-13 - 2025-07-20
UWF-ZeekDataSum25-1,2025-07-20 - 2025-07-27,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,160123,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-07-20 - 2025-07-27
UWF-ZeekDataSum25-1,2025-07-27 - 2025-08-03,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,6179,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-1|2025-07-27 - 2025-08-03
UWF-ZeekDataSum25-2,2025-06-01 - 2025-06-08,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1046,477271,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-2|2025-06-01 - 2025-06-08
UWF-ZeekDataSum25-2,2025-05-25 - 2025-06-01,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,456278,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-2|2025-05-25 - 2025-06-01
UWF-ZeekDataSum25-2,2025-06-01 - 2025-06-08,UNAVAILABLE_FROM_PUBLIC_AGGREGATE,weekly_aggregate_only,T1595,902,,,,,official_weekly_technique_metrics_only,no,no,False,UWF-ZeekDataSum25-2|2025-06-01 - 2025-06-08
