parent_technique,name,raw_instance_support,reliable_instance_support,relation_instance_support,reliable_joined_instance_support,independent_participant_support,joined_relation_count,joined_flow_count,median_joined_flows_per_activity,observability_category,label_confidence,join_quality,single_flow_feasible,context_feasible,episode_feasible,known_train_candidate,heldout_candidate,fewshot_candidate,attribution_only,exclusion_reason
T1221,Template Injection,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1222,File and Directory Permissions Modification,41,41,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1485,Data Destruction,3,3,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1518,Software Discovery,82,82,1,1,unavailable_in_public_metadata,2,9,9,D,non_doubt,low_or_sparse,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1526,Cloud Service Discovery,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1548,Abuse Elevation Control Mechanism,65,65,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1550,Use Alternate Authentication Material,20,20,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1552,Unsecured Credentials,2,2,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1555,Credentials from Password Stores,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1556,Modify Authentication Process,4,4,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1560,Archive Collected Data,6,6,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1562,Impair Defenses,3,3,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,EXACT_HISTORICAL_REVIEW; Flow evidence insufficient; <10 reliable joined instances
T1565,Data Manipulation,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1567,Exfiltration Over Web Service,18,18,0,0,unavailable_in_public_metadata,0,0,0,C,non_doubt,unjoined,no,False,no,False,False,False,True,<10 reliable joined instances
T1569,System Services,3,3,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1570,Lateral Tool Transfer,18,18,2,2,unavailable_in_public_metadata,5,13,6.5,C,non_doubt,low_or_sparse,partial,False,no,False,False,False,True,<10 reliable joined instances
T1572,Protocol Tunneling,17,17,10,5,unavailable_in_public_metadata,18,93,9,B,non_doubt,medium_auto_pending_manual,no,True,pending_manual_and_episode_gate,False,False,False,True,<10 reliable joined instances; low automatic join coverage
T1580,Cloud Infrastructure Discovery,1,1,1,1,unavailable_in_public_metadata,2,9,9,D,non_doubt,low_or_sparse,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1587,Develop Capabilities,29,29,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1590,Gather Victim Network Information,2,2,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1592,Gather Victim Host Information,13,13,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1595,Active Scanning,73,0,52,0,unavailable_in_public_metadata,9,52,4,B,all_doubt,low_or_sparse,no,False,no,False,False,False,True,all labels doubt; <10 reliable joined instances
T1602,Data from Configuration Repository,7,7,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1608,Stage Capabilities,9,9,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1611,Escape to Host,1,1,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1613,Container and Resource Discovery,30,30,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1649,Steal or Forge Authentication Certificates,3,3,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
T1654,Log Enumeration,29,29,0,0,unavailable_in_public_metadata,0,0,0,D,non_doubt,unjoined,no,False,no,False,False,False,True,Flow evidence insufficient; <10 reliable joined instances
