official_path,category,format,label_or_source,local_status,bytes,sha256
Edge-IIoTset dataset/Attack traffic/Port_Scanning_attack.csv,raw_attack,csv,Port_Scanning,verified_extracted,7335171,26f7f094254daa23e85ec7df1b7ad9352cf208d9ee9b55d7d7928d3415c793ad
Edge-IIoTset dataset/Attack traffic/Ransomware attack.pcap,raw_attack,pcap,Ransomware,verified_extracted,2842688,f38a731096f61391384adad975537de2de6cea89f38e1c1421e5b328f4b17116
Edge-IIoTset dataset/Attack traffic/Ransomware_attack.csv,raw_attack,csv,Ransomware,verified_extracted,7592169,60fa5257c73f0eef6736a56953c7afe6a99e08942a32c3b9716a64abd2be0c7a
Edge-IIoTset dataset/Attack traffic/SQL injection attack.pcap,raw_attack,pcap,SQL_injection,verified_extracted,8173215,374b06418c3dddd831561a8b5521c18a47bd1cd9bfa83f83e33b70d134517491
Edge-IIoTset dataset/Attack traffic/SQL_injection_attack.csv,raw_attack,csv,SQL_injection,verified_extracted,26933868,59d62ccfab6b708ce1c437a33b4c285e20e614e612edcd86260d4e5c2461c63d
Edge-IIoTset dataset/Attack traffic/Uploading attack.pcap,raw_attack,pcap,Uploading,verified_extracted,5488666,29a16de3410e3c2ff5c3dad8a54d0092dd98c63ea3c13994f4416414bd74d490
Edge-IIoTset dataset/Attack traffic/Uploading_attack.csv,raw_attack,csv,Uploading,verified_extracted,17513308,f65ae75444183004a47fcda9e197daa42b38e485ea58ebc28464e21f830197e3
Edge-IIoTset dataset/Attack traffic/Vulnerability scanner attack.pcap,raw_attack,pcap,Vulnerability_scanner,verified_extracted,140377652,af8cb9e7707000bab20618f5f6c4efe09b637b21e7d0e3cb2a055a6d75524083
Edge-IIoTset dataset/Attack traffic/Vulnerability_scanner_attack.csv,raw_attack,csv,Vulnerability_scanner,verified_extracted,175747472,5b8d9bca352875d9b8c76d517ecb33808c45d6a1259f718e21bd1c4d6fea7d59
Edge-IIoTset dataset/Attack traffic/XSS attacks.pcap,raw_attack,pcap,XSS,verified_extracted,2068899,9e155d46254db96acdf0f97245da6734a7de2c82a0c3e31936c9e5792fc8f92e
Edge-IIoTset dataset/Attack traffic/XSS_attack.csv,raw_attack,csv,XSS,verified_extracted,6963363,acce72d7e9f8d373d4be61d67576c10c55b3eb59063f4a9a1a63715ab85ebf48
Edge-IIoTset dataset/Normal traffic/Distance/Distance.csv,raw_normal,csv,Normal,verified_extracted,366056131,067fcf364a6c4e35a6aa436e6263466ef4c8f3f84c423d0aadf932f65d6e1ee5
Edge-IIoTset dataset/Normal traffic/Distance/Distance.pcap,raw_normal,pcap,Normal,verified_extracted,85424784,6b16348f1139dcb83c12e6855e7202f7ae5b77bbca8eed467ab0b6aa3ab78922
Edge-IIoTset dataset/Normal traffic/Flame_Sensor/Flame_Sensor.csv,raw_normal,csv,Normal,verified_extracted,343523471,e0f6812bd54e564d18e6f87d8d0566f86bde384f822d3252d7535f4239160528
Edge-IIoTset dataset/Normal traffic/Flame_Sensor/Flame_Sensor.pcap,raw_normal,pcap,Normal,verified_extracted,79692841,57bf51ae5cd8848c688affee6b71f4b10a6bae4fa297aa18e57cf3ba85cdc2db
Edge-IIoTset dataset/Normal traffic/Heart_Rate/Heart_Rate.csv,raw_normal,csv,Normal,verified_extracted,52569102,f5104511c7b67988ec67fc2f8262913b4ad6d4285db047500a04307491f4b9d5
Edge-IIoTset dataset/Normal traffic/Heart_Rate/Heart_Rate.pcap,raw_normal,pcap,Normal,verified_extracted,12840229,45af68c5dc56f1e135102069ee6d86a62e5d2b14dd23cac0bee39dcc40e832fb
Edge-IIoTset dataset/Normal traffic/IR_Receiver/IR_Receiver.csv,raw_normal,csv,Normal,verified_extracted,412738438,40325a578b4edc4714eef585095a1f92e1cc076e510ad93edc3507dea8e4eef7
Edge-IIoTset dataset/Normal traffic/IR_Receiver/IR_Receiver.pcap,raw_normal,pcap,Normal,verified_extracted,96912648,bcaa33d74dc03e34b7d6ed3f427cc69c6457f2c0ad52b4deab2861526209ec84
Edge-IIoTset dataset/Normal traffic/Modbus/Modbus.csv,raw_normal,csv,Normal,verified_extracted,67899662,6ae11be7ebd506429f43a0ebb7aa38e836ffea39165fc0247e2a6c96c019c37a
Edge-IIoTset dataset/Normal traffic/Modbus/Modbus.pcap,raw_normal,pcap,Normal,verified_extracted,21040950,1e9d186b5846402cd52e6048a39423f104cb19d68de501ad0a0ac8dbb2cc63c9
Edge-IIoTset dataset/Normal traffic/phValue/phValue.csv,raw_normal,csv,Normal,verified_extracted,237328348,7cd2d143bd079f2a6744bf22b1930c81ab034cf85ea4f8e3a815114d8b7fe07b
Edge-IIoTset dataset/Normal traffic/phValue/phValue.pcap,raw_normal,pcap,Normal,verified_extracted,56548929,7676af0ae72776ae54fb128adcb55959bbe95729d10313e30b74d96f8c9010f6
Edge-IIoTset dataset/Normal traffic/Soil_Moisture/Soil_Moisture.csv,raw_normal,csv,Normal,verified_extracted,381588722,d3bf5662fd28b515e29c2b1b296b3b79ffc415836cb5a5da1666e164c099c440
Edge-IIoTset dataset/Normal traffic/Soil_Moisture/Soil_Moisture.pcap,raw_normal,pcap,Normal,verified_extracted,89832523,7d8d1304aa403e0b937eb475e637d8466101999c93c0052164a056f3abef00d1
Edge-IIoTset dataset/Normal traffic/Sound_Sensor/Sound_Sensor.csv,raw_normal,csv,Normal,verified_extracted,478970099,1ac318ea539be09ac0ae4c9ae6d7e0e2d0013633131354c37d4f76663c3dc52b
Edge-IIoTset dataset/Normal traffic/Sound_Sensor/Sound_Sensor.pcap,raw_normal,pcap,Normal,verified_extracted,112118593,8e33158f8fa935e48852ba4a1a5c760588aacecbf1427cf7a3b6ec90b0ebc276
Edge-IIoTset dataset/Normal traffic/Temperature_and_Humidity/Temperature_and_Humidity.csv,raw_normal,csv,Normal,verified_extracted,922587674,2b48ddce8f1d60dbd0d189568c614ee04d4bc57b65f1c9089ea731b1a02a0c21
Edge-IIoTset dataset/Normal traffic/Temperature_and_Humidity/Temperature_and_Humidity.pcap,raw_normal,pcap,Normal,verified_extracted,345868816,2b37027b1575f1d5bba7ab6cf87503df303ea2c9ab07a69b20f8d0f28696da6f
Edge-IIoTset dataset/Normal traffic/Water_Level/Water_Level.csv,raw_normal,csv,Normal,verified_extracted,731458402,19153cba2da0c69e2fd4f682a9e872af787fd04af5d7806cebb2ec01a6d83025
Edge-IIoTset dataset/Normal traffic/Water_Level/Water_Level.pcap,raw_normal,pcap,Normal,verified_extracted,172482137,1b76b1881bde98a15d311da6f9be2ac2fdeeee97d60e99e044e097afae6c2b4e
Edge-IIoTset dataset/Selected dataset for ML and DL/DNN-EdgeIIoT-dataset.csv,selected_ml_dl,csv,N/A,verified_extracted,1217413981,1d3ef6c7cc22784a528a117f1158f5cad750273679437e18a39c360ee6b79fd7
Edge-IIoTset dataset/Selected dataset for ML and DL/ML-EdgeIIoT-dataset.csv,selected_ml_dl,csv,N/A,verified_extracted,82184390,53101fad091af20bee815860962a5016b802ee45d456a141042f6183094c3c1a
Edge_IIoTset__DatasetFL.pdf,documentation,pdf,N/A,verified_extracted,5445952,8c21d1339ecdc4dfa59ffbec408c6c8ff3b148a255c53e67fe3c5ad1a1397a39
Readme.txt,documentation,txt,N/A,verified_extracted,7348,c4afd342e8d5b9ca38ad1832ebb483c421ddbb736255a1b18d0d571c6bce6fb6
