source_dataset,raw_label,normalized_id,technique_name_v19_1,parent_id_v19_1,parent_name_v19_1,is_subtechnique,deprecated,revoked,mapping_status,mapping_note,auto_confirmed
CAM-LDS scenario_7 sample,T1110.001,T1110.001,Password Guessing,T1110,Brute Force,True,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1133,T1133,External Remote Services,T1133,External Remote Services,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1190,T1190,Exploit Public-Facing Application,T1190,Exploit Public-Facing Application,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1210,T1210,Exploitation of Remote Services,T1210,Exploitation of Remote Services,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1525,T1525,Implant Internal Image,T1525,Implant Internal Image,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1573.001,T1573.001,Symmetric Cryptography,T1573,Encrypted Channel,True,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1589.002,T1589.002,Email Addresses,T1589,Gather Victim Identity Information,True,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1590.002,T1590.002,DNS,T1590,Gather Victim Network Information,True,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1591,T1591,Gather Victim Org Information,T1591,Gather Victim Org Information,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1592.002,T1592.002,Software,T1592,Gather Victim Host Information,True,False,False,EXACT_ACTIVE,Exact external_id match.,True
CAM-LDS scenario_7 sample,T1610,T1610,Deploy Container,T1610,Deploy Container,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Data24,T1048,T1048,Exfiltration Over Alternative Protocol,T1048,Exfiltration Over Alternative Protocol,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Data24,T1078,T1078,Valid Accounts,T1078,Valid Accounts,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Data24,T1110,T1110,Brute Force,T1110,Brute Force,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Data24,T1190,T1190,Exploit Public-Facing Application,T1190,Exploit Public-Facing Application,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Data24,T1595,T1595,Active Scanning,T1595,Active Scanning,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Fall24-2,T1018,T1018,Remote System Discovery,T1018,Remote System Discovery,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Fall24-2,T1046,T1046,Network Service Discovery,T1046,Network Service Discovery,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Fall24-2,T1210,T1210,Exploitation of Remote Services,T1210,Exploitation of Remote Services,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Fall24-2,T1595,T1595,Active Scanning,T1595,Active Scanning,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Sum25-1,T1016,T1016,System Network Configuration Discovery,T1016,System Network Configuration Discovery,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Sum25-1,T1046,T1046,Network Service Discovery,T1046,Network Service Discovery,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Sum25-1,T1190,T1190,Exploit Public-Facing Application,T1190,Exploit Public-Facing Application,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Sum25-1,T1210,T1210,Exploitation of Remote Services,T1210,Exploitation of Remote Services,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Sum25-1,T1548,T1548,Abuse Elevation Control Mechanism,T1548,Abuse Elevation Control Mechanism,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Sum25-1,T1595,T1595,Active Scanning,T1595,Active Scanning,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Sum25-2,T1046,T1046,Network Service Discovery,T1046,Network Service Discovery,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
UWF Sum25-2,T1595,T1595,Active Scanning,T1595,Active Scanning,False,False,False,EXACT_ACTIVE,Exact external_id match.,True
